repo,url,stars,year,has_package_swift,description,language,topics,archived,open_issues,iOS,macOS,watchOS,tvOS,visionOS,platform_count
hylo-lang/hylo,https://github.com/hylo-lang/hylo.git,1380.0,2025.0,True,The Hylo programming language,Swift,programming-language,False,209.0,,13.0,,,,1
hyperoslo/Cache,https://github.com/hyperoslo/Cache.git,3098.0,2025.0,True,:package: Nothing but Cache.,Swift,"cache, cache-storage, disk-cache, memory-cache, swift, ios",False,13.0,,,,,,0
iAmMccc/SmartCodable,https://github.com/iAmMccc/SmartCodable.git,634.0,2025.0,True,"SmartCodable is a data parsing library based on Codable. It is simple to use, with robust compatibility being one of its main features. SmartCodable 是基于Codable实现的数据解析库。简单易用，强悍的兼容性是SmartCodable的主要特点。  表层API和功能几乎和HandyJSON一致，支持快速的迁移。",Swift,"codable, handyjson, json, mapping, serialization, swift, swift-codable, metacodable, swift-syntax-builder",False,1.0,13.0,,6.0,13.0,1.0,5
ifitdoesntwork/DAExpandAnimation,https://github.com/ifitdoesntwork/DAExpandAnimation.git,581.0,2025.0,True,A custom modal transition that presents a controller with an expanding effect while sliding out the presenter remnants.,Swift,"animation, ios, transition, uikit, swift6",False,3.0,8.0,,,,,1
Instagram/IGListKit,https://github.com/Instagram/IGListKit.git,13015.0,2025.0,True,A data-driven UICollectionView framework for building fast and flexible lists.,Objective-C,"uicollectionview, ios, objective-c, diffing, instagram",False,163.0,11.0,,,11.0,,2
isaced/ISEmojiView,https://github.com/isaced/ISEmojiView.git,540.0,2025.0,True,Emoji Keyboard for iOS,Swift,"emoji, emoji-keyboard, swift",False,15.0,12.0,,,,,1
JanGorman/Agrume,https://github.com/JanGorman/Agrume.git,857.0,2025.0,True,🍋 A lemony fresh iOS image viewer written in Swift.,Swift,"swift, image, image-viewer, ios, cocoapods, carthage",False,0.0,13.0,,,,,1
jessesquires/JSQCoreDataKit,https://github.com/jessesquires/JSQCoreDataKit.git,616.0,2025.0,True,A swifter Core Data stack,Swift,"swift, ios, coredata, core-data",False,18.0,14.0,,6.0,14.0,,3
johnno1962/HotReloading,https://github.com/johnno1962/HotReloading.git,597.0,2025.0,True,Hot reloading as a Swift Package,Swift,"swift, swiftui, hot-reload",False,2.0,,,,,,0
johnpatrickmorgan/FlowStacks,https://github.com/johnpatrickmorgan/FlowStacks.git,925.0,2025.0,True,FlowStacks allows you to hoist SwiftUI navigation and presentation state into a Coordinator,Swift,,False,16.0,14.0,11.0,7.0,14.0,,4
johnpatrickmorgan/NavigationBackport,https://github.com/johnpatrickmorgan/NavigationBackport.git,913.0,2025.0,True,Backported SwiftUI navigation APIs introduced in WWDC22,Swift,,False,4.0,14.0,11.0,7.0,14.0,,4
JohnSundell/files,https://github.com/JohnSundell/files.git,2579.0,2025.0,True,A nicer way to handle files & folders in Swift,Swift,"files, folders, swift, script, swift-script, xcode",False,23.0,,,,,,0
jonreid/OCMockito,https://github.com/jonreid/OCMockito.git,993.0,2025.0,True,"Mockito for Objective-C: creation, verification and stubbing of mock objects",Objective-C,"objective-c, mockito, xctest, mocking-framework, testing, mocking",False,8.0,9.0,,2.0,12.0,,3
